id_device;date;en_L1;cons_en_L1;en_L2;cons_en_L2;en_L3;cons_en_L3
246;21/02/2021;38621419.55980015;63983.5;15925020.226124763;26787.5;55298774.77506256;94849
246;22/02/2021;38688412.55980015;64332;15952485.476124763;26360.5;55399388.77506256;94835
246;23/02/2021;38754261.05980015;63218.5;15980419.476124763;26807.25;55488216.77506256;85109
246;24/02/2021;38819242.05980015;62208;16008585.476124763;26963;55576392.77506256;84480
246;25/02/2021;38883008.05980015;61183.5;16036891.726124763;27154.25;55663449.77506256;83436
246;26/02/2021;38947344.05980015;61697;16065235.976124763;27203.5;55751104.77506256;83954
246;27/02/2021;39011783.05980015;61835.5;16093829.976124763;27400.75;55839122.77506256;84324
246;28/02/2021;39080308.05980015;65767;16121506.476124763;26522;55935544.77506256;92575
246;01/03/2021;39148101.55980015;65067;16149228.476124763;26593.5;56031362.77506256;91145
246;02/03/2021;39215072.05980015;64370;16177034.726124763;26636.25;56120719.77506256;85629
246;03/03/2021;39281832.05980015;64031;16205052.476124763;26880.75;56209346.77506256;84943
246;04/03/2021;39348292.05980015;63664;16233199.976124763;26948.25;56298222.77506256;84889
246;05/03/2021;39414925.05980015;63803.5;16261302.476124763;26908.75;56390502.77506256;88472
246;06/03/2021;39482596.55980015;64975;16289594.726124763;27145.25;56479868.77506256;85710
246;07/03/2021;39552185.55980015;66848;16317640.726124763;26844.5;56575882.77506256;92216
246;08/03/2021;39622440.05980015;67514;16344968.976124763;26119.75;56668936.77506256;89084
246;09/03/2021;39689586.05980015;64497.5;16372872.226124763;26764.25;56757848.77506256;85240
246;10/03/2021;39754916.05980015;62692;16400979.226124763;26947;56846656.77506256;85171
246;11/03/2021;39821242.05980015;63525;16428961.476124763;26775.5;56935537.77506256;85122
246;12/03/2021;39890303.05980015;66303;16456192.226124763;26016;57027395.77506256;88033
246;13/03/2021;39959197.05980015;66161;16483745.976124763;26422;57118817.77506256;87814
246;14/03/2021;40027652.05980015;65791;16511643.226124763;26720;57209664.77506256;87212
246;15/03/2021;40093433.05980015;62954;16539983.726124763;27112.5;57297171.77506256;83628
246;16/03/2021;40158979.05980015;62706;16568527.726124763;27333.75;57385459.77506256;84268
246;17/03/2021;40223039.05980015;61399;16597007.726124763;27304.5;57474124.77506256;85001
246;18/03/2021;40286506.05980015;60879;16625383.226124763;27200.5;57570037.77506256;92231
246;19/03/2021;40345154.05980015;55985;16653071.476124763;26525.5;57674854.77506256;101263
246;20/03/2021;40408046.05980015;60272;16682355.476124763;28036;57772089.77506256;91903
246;21/03/2021;40470182.05980015;59531;16711709.976124763;28140.25;57878544.77506256;102843
246;22/03/2021;40530308.05980015;57834;16741189.726124763;28253.25;57977883.77506256;93693
246;23/03/2021;40593310.05980015;60360;16770149.976124763;27712.25;58063922.77506256;82215
