id_device;date;en_L1;cons_en_L1;en_L2;cons_en_L2;en_L3;cons_en_L3
243;01/11/2019;12869079.04373169;2335522.403022766;11822280.148376465;2211807.943763733;3307347.23057355;411817.77433776855
243;01/12/2019;15415533.055671692;2543101.4494400024;14313071.522880554;2487502.1245040894;4009259.3387659937;701248.8425674438
243;01/01/2020;17791517.680671692;2373130.5;16175414.397880554;1859398;4458635.276265994;449094.53125
243;01/02/2020;20179072.50164795;2383466.0709762573;18486099.467826843;2306829.069946289;5141418.404226199;681564.9404602051
243;01/03/2020;22547835.47821045;2365309.3671875;20745846.674858093;2256221.13671875;5729639.125905886;587108.6982421875
243;01/04/2020;24510046.2390213;1959399.260810852;22252675.739440918;1504783.0645828247;5937263.802846804;207471.80194091797
243;01/05/2020;26789116.4265213;2276161.3125;24422551.301940918;2166880.0625;6323152.505971804;385468.9921875
243;01/06/2020;29065516.1765213;2273234.75;26523178.301940918;2097631.5;6730107.037221804;406425.78125
243;01/07/2020;31611880.4265213;2542927.25;28814117.051940918;2287796.25;7351832.255971804;621060.65625
243;01/08/2020;34264538.6765213;2648312.375;31169273.801940918;2351403.375;8052535.724721804;698763.59375
243;01/09/2020;36505220.1765213;2237483.5;33245239.301940918;2073078;8453238.224721804;399904.75
243;01/10/2020;39082003.1765213;2573564;35665652.30194092;2417568.5;9164584.224721804;710939.75
243;01/11/2020;41554339.1765213;2468634;38015101.30194092;2345984;9855603.224721804;689883.75
243;01/12/2020;43960914.1765213;2403177;40335606.30194092;2317146;10419482.224721804;563055.75
243;01/01/2021;46392882.1765213;2428939;42659131.30194092;2320613;11028610.474721804;608303.25
243;01/02/2021;48660948.1765213;2264800;44816381.30194092;2154121;11700590.474721804;671151.75
243;01/03/2021;50598383.9265213;1933927.75;46669140.05194092;1849388.75;12271893.365346804;570247.390625
246;01/07/2019;1236174.1046714783;2472006.517021179;362775.155602932;725349.0688962936;1569470.635421753;3137614.4273376465
246;01/08/2019;3958762.6847219467;2960014.7988004684;1209654.454621315;921160.080268383;4846227.383270264;3537553.6228485107
246;01/09/2019;6169223.355362892;2207918.9206409454;1939448.9733700752;728750.9093737602;7765705.030227661;2915803.8969573975
246;01/10/2019;7953590.286236763;1781865.4308738708;2719590.255215168;779215.7505950928;10359731.12171936;2590316.466491699
246;01/11/2019;9231925.411236763;1276504;3565368.942715168;844527.5;12670294.87171936;2307295
246;01/12/2019;10579050.860938072;1345337.1997013092;4461323.98383379;894710.6661186218;15122799.848144531;2449345.476425171
246;01/01/2020;11908280.548438072;1327449.6875;5367317.04633379;904781.3125;17735472.97314453;2609612.75
246;01/02/2020;13183803.547626495;1273397.6241884232;6195356.821853638;826853.7755198479;19937932.558181763;2198808.0850372314
