,num_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,hour,day,month,year,cons_glbal
5014,34,2020-10-02 23:00:00,4825760.784706116,676.7421875,12944523.54309845,2483.59375,1163904.159408569,135.4423828125,23,Friday,10,2020,3295.7783203125
5015,34,2020-11-02 00:00:00,4826439.550331116,678.765625,12946868.88684845,2345.34375,1163904.159408569,0.0,0,Monday,11,2020,3024.109375
5016,34,2020-11-02 01:00:00,4827119.175331116,679.625,12949460.38684845,2591.5,1163904.159408569,0.0,1,Monday,11,2020,3271.125
5017,34,2020-11-02 02:00:00,4827795.776893616,676.6015625,12951720.44934845,2260.0625,1163904.159408569,0.0,2,Monday,11,2020,2936.6640625
5018,34,2020-11-02 03:00:00,4828497.706581116,701.9296875,12954075.10559845,2354.65625,1163904.159408569,0.0,3,Monday,11,2020,3056.5859375
5019,34,2020-11-02 04:00:00,4829174.573768616,676.8671875,12956661.98059845,2586.875,1164040.158920288,135.99951171875,4,Monday,11,2020,3399.74169921875
5020,34,2020-11-02 05:00:00,4829851.917518616,677.34375,12958900.88684845,2238.90625,1164040.158920288,0.0,5,Monday,11,2020,2916.25
5021,34,2020-11-02 06:00:00,4830539.144081116,687.2265625,12961399.29309845,2498.40625,1164040.158920288,0.0,6,Monday,11,2020,3185.6328125
5022,34,2020-11-02 07:00:00,4831199.073768616,659.9296875,12963725.41809845,2326.125,1164040.158920288,0.0,7,Monday,11,2020,2986.0546875
5023,34,2020-11-02 08:00:00,4831887.105018616,688.03125,12966288.85559845,2563.4375,1164040.158920288,0.0,8,Monday,11,2020,3251.46875
5024,34,2020-11-02 09:00:00,4831902.815956116,15.7109375,12966288.85559845,0.0,1164040.158920288,0.0,9,Monday,11,2020,15.7109375
5025,34,2020-11-02 10:00:00,4832694.581581116,791.765625,12968620.10559845,2331.25,1164173.9470062256,133.7880859375,10,Monday,11,2020,3256.8037109375
5026,34,2020-11-02 11:00:00,4833515.706581116,821.125,12971294.10559845,2674.0,1164434.1857757568,260.23876953125,11,Monday,11,2020,3755.36376953125
5027,34,2020-11-02 12:00:00,4834483.081581116,967.375,12973940.41809845,2646.3125,1164580.1174163818,145.931640625,12,Monday,11,2020,3759.619140625
5028,34,2020-11-02 13:00:00,4835297.394081116,814.3125,12976321.16809845,2380.75,1164707.2990570068,127.181640625,13,Monday,11,2020,3322.244140625
5029,34,2020-11-02 14:00:00,4836106.081581116,808.6875,12978949.94934845,2628.78125,1164852.8986663818,145.599609375,14,Monday,11,2020,3583.068359375
5030,34,2020-11-02 15:00:00,4837032.651893616,926.5703125,12981461.32434845,2511.375,1164985.8049163818,132.90625,15,Monday,11,2020,3570.8515625
5031,34,2020-11-02 16:00:00,4837881.933143616,849.28125,12984109.23059845,2647.90625,1165115.9880218506,130.18310546875,16,Monday,11,2020,3627.37060546875
5032,34,2020-11-02 17:00:00,4838681.386268616,799.453125,12986480.01184845,2370.78125,1165261.0895843506,145.1015625,17,Monday,11,2020,3315.3359375
5033,34,2020-11-02 18:00:00,4839496.355018616,814.96875,12989278.63684845,2798.625,1165394.214096069,133.12451171875,18,Monday,11,2020,3746.71826171875
5034,34,2020-11-02 19:00:00,4840316.776893616,820.421875,12991660.63684845,2382.0,1165394.214096069,0.0,19,Monday,11,2020,3202.421875
5035,34,2020-11-02 20:00:00,4841137.245643616,820.46875,12994296.63684845,2636.0,1165532.1818695068,137.9677734375,20,Monday,11,2020,3594.4365234375
5036,34,2020-11-02 21:00:00,4841954.690956116,817.4453125,12996842.57434845,2545.9375,1165672.4587249756,140.27685546875,21,Monday,11,2020,3503.65966796875
5037,34,2020-11-02 22:00:00,4842778.448768616,823.7578125,12999278.48059845,2435.90625,1165672.4587249756,0.0,22,Monday,11,2020,3259.6640625
5038,34,2020-11-02 23:00:00,4843443.808143616,665.359375,13001747.16809845,2468.6875,1165805.705795288,133.2470703125,23,Monday,11,2020,3267.2939453125
5039,34,2020-12-02 00:00:00,4844273.730018616,829.921875,13004390.19934845,2643.03125,1165941.662826538,135.95703125,0,Wednesday,12,2020,3608.91015625
5040,34,2020-12-02 01:00:00,4845072.167518616,798.4375,13006709.26184845,2319.0625,1165941.662826538,0.0,1,Wednesday,12,2020,3117.5
5041,34,2020-12-02 02:00:00,4845759.011268616,686.84375,13009109.38684845,2400.125,1165941.662826538,0.0,2,Wednesday,12,2020,3086.96875
5042,34,2020-12-02 03:00:00,4846570.948768616,811.9375,13011470.79309845,2361.40625,1166080.0720062256,138.4091796875,3,Wednesday,12,2020,3311.7529296875
