;history;predict
20;[7435.0, 7341.5, 7228.125, 7006.875, 7588.8125, 7777.625, 7379.5625, 8025.0, 7717.6875, 8337.0, 8063.25, 7864.75, 8029.6875, 7968.0625, 7752.25, 7867.5, 7671.8125, 8164.5, 7968.25, 7619.5625, 7989.5625, 7445.75, 7410.0, 7586.5625, 7495.25, 7597.8125, 7034.3125, 7625.0, 7227.9375, 7700.5, 7608.625, 7457.6875, 7926.5625, 8832.5625, 7987.1875, 8387.6875, 8006.75, 8438.5, 8297.0, 7831.625, 8178.0, 7992.3125, 8277.25, 8104.5625, 7628.9375, 7939.4375, 7898.4375, 7862.6875, 7588.8125, 7561.5];[7890.4375, 7483.0625, 7682.375, 7811.3125, 7825.0625, 8087.1875, 7934.5, 8873.625, 8439.5, 8298.1875]
21;[7890.4375, 7483.0625, 7682.375, 7811.3125, 7825.0625, 8087.1875, 7934.5, 8873.625, 8439.5, 8298.1875, 8736.875, 7798.5625, 8180.0625, 8223.6875, 7926.5, 7339.5625, 8627.1875, 8267.9375, 7694.1875, 7883.0, 8250.6875, 7585.25, 7554.5625, 8007.0625, 7801.6875, 7308.125, 8348.6875, 8095.75, 8160.25, 8404.1875, 8834.25, 8716.0, 9147.9375, 9815.1875, 8579.6875, 8512.0, 8849.3125, 8325.75, 8609.375, 8582.125, 8107.6875, 8062.125, 8234.875, 8145.8125, 7974.875, 7768.5, 8009.9375, 7442.0625, 7933.125, 8143.6875];[8264.8125, 8075.9375, 8258.6875, 9288.1875, 8294.25, 9243.1875, 9082.0625, 9018.5, 8869.8125, 9180.25]
22;[8264.8125, 8075.9375, 8258.6875, 9288.1875, 8294.25, 9243.1875, 9082.0625, 9018.5, 8869.8125, 9180.25, 8259.75, 8527.9375, 7873.4375, 8626.25, 7968.75, 8231.5625, 8007.1875, 8142.1875, 7781.375, 8191.125, 7566.875, 7471.9375, 8109.4375, 7929.0, 5864.25, 8174.0625, 8975.5625, 7905.625, 9175.3125, 9386.6875, 8938.5, 8440.4375, 9299.1875, 8445.3125, 8135.6875, 8046.3125, 8411.1875, 8337.1875, 8198.875, 8333.875, 7704.9375, 8065.125, 7641.3125, 8441.0, 7608.5, 8026.25, 7693.1875, 7645.125, 7818.25, 8242.8125];[8340.9375, 8179.5, 8743.1875, 8494.8125, 8698.375, 9055.5, 8478.4375, 8562.1875, 8273.1875, 8152.625]
23;[8340.9375, 8179.5, 8743.1875, 8494.8125, 8698.375, 9055.5, 8478.4375, 8562.1875, 8273.1875, 8152.625, 8365.5, 7791.6875, 8499.3125, 7849.8125, 7961.375, 8162.6875, 8009.3125, 7994.6875, 7549.375, 7719.25, 7450.375, 7787.0625, 7694.9375, 7533.875, 8432.25, 8537.3125, 8284.9375, 8573.75, 8936.1875, 8769.8125, 8546.1875, 8962.5625, 7873.8125, 8267.3125, 8232.1875, 8723.5, 7815.5625, 8088.375, 8222.0625, 7642.0625, 7961.875, 8108.5625, 7601.9375, 7556.1875, 7201.5625, 7933.1875, 7279.5625, 7689.0, 7962.375, 7934.75];[8199.375, 8775.75, 8171.5, 8151.877418518066, 8626.60498046875, 8207.736572265625, 8376.935791015625, 8289.38037109375, 7991.919921875, 8030.865234375]
24;[8199.375, 8775.75, 8171.5, 8151.877418518066, 8626.60498046875, 8207.736572265625, 8376.935791015625, 8289.38037109375, 7991.919921875, 8030.865234375, 7724.1005859375, 8105.3916015625, 7759.255859375, 7686.8662109375, 8047.8359375, 7664.798828125, 7496.982421875, 7766.1416015625, 7558.8603515625, 7113.54296875, 8199.0830078125, 7731.39453125, 8023.064453125, 8081.0234375, 8504.087890625, 8486.3125, 8097.61328125, 8615.41796875, 8117.1328125, 8186.501953125, 8476.275390625, 8056.796875, 8006.24609375, 7540.48828125, 8382.326171875, 7641.31640625, 7433.765625, 7987.041015625, 7432.5859375, 7891.26171875, 8140.875, 7408.79296875, 7257.80859375, 7657.68359375, 8073.46484375, 7612.203125, 8299.08984375, 8532.4140625, 8392.4609375, 8117.03515625];[8062.74609375, 7866.78125, 7814.40234375, 8017.55078125, 8129.69140625, 7809.75390625, 7683.28515625, 7984.16015625, 7635.21484375, 7365.56640625]
25;[8062.74609375, 7866.78125, 7814.40234375, 8017.55078125, 8129.69140625, 7809.75390625, 7683.28515625, 7984.16015625, 7635.21484375, 7365.56640625, 8025.59765625, 7528.68359375, 7552.31640625, 7993.79296875, 7495.9765625, 7646.78515625, 7441.48828125, 7685.26953125, 7563.74609375, 7676.296875, 8179.83203125, 8237.91796875, 8474.609375, 8861.97265625, 9177.19140625, 8953.2109375, 9040.140625, 9833.3046875, 8778.484375, 8740.296875, 9006.0703125, 8991.5859375, 8572.3515625, 8899.4453125, 8544.5546875, 8296.5, 8797.71875, 7926.0546875, 8290.4296875, 8264.984375, 8179.046875, 8548.9921875, 6452.3984375, 8570.6171875, 8588.078125, 9177.4609375, 9445.640625, 9475.3203125, 9296.25, 9072.265625];[9454.9453125, 8891.4296875, 8514.734375, 9139.328125, 8127.5390625, 8460.5703125, 8136.3359375, 8553.671875, 7835.3515625, 7666.4765625]
26;[9454.9453125, 8891.4296875, 8514.734375, 9139.328125, 8127.5390625, 8460.5703125, 8136.3359375, 8553.671875, 7835.3515625, 7666.4765625, 8341.453125, 7940.21875, 7540.7890625, 8087.984375, 7796.6171875, 7527.984375, 8104.546875, 7625.390625, 7835.28125, 8504.53125, 8041.8203125, 8221.4609375, 8332.578125, 8495.4765625, 7811.4296875, 7790.28125, 7899.25, 8058.5, 7834.5859375, 8165.0546875, 7083.546875, 8618.5390625, 7637.6484375, 7715.3671875, 7343.6640625, 7386.8984375, 7793.4453125, 7296.625, 7369.0, 7574.0, 6963.875, 7182.484375, 7165.453125, 7970.65625, 7496.4375, 7666.25, 8041.453125, 6778.9375, 6280.546875, 9165.625];[6860.484375, 6054.375, 9446.859375, 7893.953125, 7273.984375, 6603.609375, 9055.375, 5705.015625, 8365.703125, 8315.515625]
27;[6860.484375, 6054.375, 9446.859375, 7893.953125, 7273.984375, 6603.609375, 9055.375, 5705.015625, 8365.703125, 8315.515625, 5864.71875, 8433.765625, 7602.546875, 7228.203125, 7002.6875, 8312.875, 8017.9375, 8609.5625, 8251.25, 8422.96875, 8392.171875, 8385.859375, 8729.8125, 8537.6875, 7830.90625, 8858.875, 8285.671875, 7869.84375, 8878.453125, 8358.59375, 7265.1875, 8613.375, 9054.890625, 7585.96875, 8693.0, 8248.1875, 5925.046875, 10169.921875, 7760.71875, 8091.4375, 7936.28125, 7963.796875, 8322.65625, 7704.0625, 8124.90625, 8405.1875, 8005.71875, 7845.015625, 8047.015625, 7538.0625];[7856.15625, 7563.171875, 7859.578125, 7244.078125, 7713.90625, 7656.46875, 7527.015625, 7171.25, 7385.671875, 7529.734375]
28;[7856.15625, 7563.171875, 7859.578125, 7244.078125, 7713.90625, 7656.46875, 7527.015625, 7171.25, 7385.671875, 7529.734375, 7450.625, 5662.546875, 9141.984375, 7156.53125, 6766.359375, 8108.21875, 7376.796875, 7371.0, 7564.375, 7636.9375, 7583.21875, 7908.171875, 7533.5, 7789.546875, 7393.109375, 7908.859375, 7590.265625, 7512.796875, 7462.484375, 7606.140625, 7503.4375, 7093.078125, 7882.5, 6596.921875, 7748.75, 7595.375, 7384.515625, 6793.03125, 7825.640625, 7257.234375, 7302.078125, 7298.953125, 8021.890625, 7046.921875, 7746.578125, 7426.03125, 7189.140625, 7471.515625, 7973.484375, 7198.859375];[7374.171875, 7755.25, 7558.328125, 7539.703125, 7764.5625, 7027.1875, 7152.546875, 7019.484375, 7667.109375, 6904.421875]
29;[7374.171875, 7755.25, 7558.328125, 7539.703125, 7764.5625, 7027.1875, 7152.546875, 7019.484375, 7667.109375, 6904.421875, 7297.875, 7645.984375, 7182.15625, 7240.5, 7910.078125, 7556.640625, 7338.1875, 7606.65625, 8253.171875, 7298.75, 7413.15625, 7828.0, 7947.375, 7682.328125, 7851.9375, 7854.0625, 7411.078125, 7387.15625, 7563.203125, 7454.328125, 7119.53125, 7385.90625, 7316.125, 6799.484375, 7568.671875, 7247.265625, 7356.890625, 7382.359375, 7616.453125, 7631.984375, 7159.71875, 7965.34375, 7787.71875, 7236.75, 7882.03125, 7589.09375, 7756.25, 7699.34375, 7700.71875, 7388.8125];[7508.96875, 7821.75, 7284.125, 7301.78125, 7658.125, 7223.28125, 7066.15625, 7149.0, 7195.40625, 7247.03125]
