,id_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,cons_glbal
21,192,2019-01-06,2998126.5,5996166.233100891,2259393.75,4518693.795204163,1648429.625,3296750.7917938232,13811610.820098877
22,192,2019-01-07,8159718.591781616,10308597.433563232,5761754.818695068,6993794.387390137,4422115.414131165,5539902.828262329,22842294.6492157
23,192,2019-01-08,13300811.722175598,5568293.880393982,9795735.125846865,4360490.557151794,7191629.015068054,3020489.8509368896,12949274.288482666
24,192,2019-01-09,17814363.7221756,4507037.5,13427930.625846865,3627523.25,9497106.515068054,2302410.0,10436970.75
25,192,2019-01-10,22191421.17235565,4371168.450180054,17054405.42604065,3621069.3001937866,11613136.426200869,2112717.6611328125,10104955.411506653
26,192,2019-01-11,26042299.17235565,3845391.0,20312194.98854065,3252564.9375,13191089.363700869,1575437.46875,8673393.40625
27,192,2019-01-12,28377866.316589355,2329972.644233704,22206580.5486908,1890208.3101501465,14663314.70640564,1470049.092704773,5690230.047088623
28,192,2020-01-01,31860654.691589355,3477760.125,24992622.4236908,2782572.5,16968066.08140564,2301294.375,8561627.0
29,192,2020-01-02,35306812.191589355,3441951.0,27853653.6736908,2856978.25,18491765.83140564,1521119.5,7820048.75
30,192,2020-01-03,39055231.19158936,3743648.0,30982167.6736908,3124022.5,20104184.83140564,1609994.0,8477664.5
31,192,2020-01-04,42898673.19158936,3837997.0,34206248.6736908,3220403.0,21904802.83140564,1798340.0,8856740.0
32,192,2020-01-05,47159206.099235535,4255567.907646179,37720397.59925079,3509279.9255599976,24181883.624671936,2274456.7932662964,10039304.626472473
33,192,2020-01-06,50723865.43778992,3559492.8385543823,41184598.99273682,3459233.143486023,27494902.4469986,3310543.57232666,10329269.554367065
34,192,2020-01-07,54625053.68778992,3895633.75,44740160.49273682,3551033.5,31544283.4469986,4044465.0,11491132.25
35,192,2020-01-08,58669979.68778992,4038539.0,48314198.99273682,3568889.5,35607014.1969986,4057458.25,11664886.75
36,192,2020-01-09,62150066.18778992,3479769.0,48413335.24273682,98808.5,39256190.4469986,3648841.25,7227418.75
37,192,2020-01-10,64933382.12528992,2778863.4375,48884638.93023682,471303.6875,42781325.8844986,3520094.4375,6770261.5625
38,192,2020-01-11,67457923.18778992,2521584.8125,51995678.24273682,3106373.84375,45974597.9469986,3189314.90625,8817273.5625
39,192,2020-01-12,69789194.68778992,2327577.75,55033440.74273682,3034317.0,49000471.9469986,3021746.25,8383641.0
40,192,2021-01-01,72124909.18778992,2333111.625,58057961.74273682,3019968.75,52028372.6969986,3023975.5,8377055.875
41,192,2021-01-02,74315815.93778992,2188359.625,60855228.74273682,2792919.375,54842600.6969986,2810296.5,7791575.5
42,192,2021-01-03,76205997.68778992,1886281.5,63281347.74273682,2422272.0,57270853.1969986,2423912.5,6732466.0
43,243,2019-01-07,2510602.7201538086,5021092.734436035,2270656.0910339355,4541198.012145996,915987.8178843408,2053194.545861885,11615485.292443916
44,243,2019-01-08,5359844.422569275,3084093.7024154663,4826226.13961792,2764321.1735839844,1704193.269987002,862173.4833526611,6710588.359352112
45,243,2019-01-09,8029261.140708923,2665992.4681396484,7227663.829612732,2398407.189994812,2371896.7374857813,666914.1393737793,5731313.79750824
46,243,2019-01-10,10530111.640708923,2497066.5,9607407.704612732,2376289.25,2894848.5812357813,522014.15625,5395369.90625
47,243,2019-01-11,12869079.04373169,2335522.403022766,11822280.148376465,2211807.943763733,3307347.23057355,411817.77433776855,4959148.121124268
48,243,2019-01-12,15415533.055671692,2543101.4494400024,14313071.522880554,2487502.1245040894,4009259.3387659937,701248.8425674438,5731852.416511536
49,243,2020-01-01,17791517.680671692,2373130.5,16175414.397880554,1859398.0,4458635.276265994,449094.53125,4681623.03125
50,243,2020-01-02,20179072.50164795,2383466.0709762573,18486099.467826843,2306829.069946289,5141418.404226199,681564.9404602051,5371860.081382751
51,243,2020-01-03,22547835.47821045,2365309.3671875,20745846.674858093,2256221.13671875,5729639.125905886,587108.6982421875,5208639.2021484375
52,243,2020-01-04,24510046.2390213,1959399.260810852,22252675.73944092,1504783.0645828247,5937263.802846804,207471.801940918,3671654.1273345947
53,243,2020-01-05,26789116.4265213,2276161.3125,24422551.30194092,2166880.0625,6323152.505971804,385468.9921875,4828510.3671875
54,243,2020-01-06,29065516.1765213,2273234.75,26523178.30194092,2097631.5,6730107.037221804,406425.78125,4777292.03125
55,243,2020-01-07,31611880.4265213,2542927.25,28814117.05194092,2287796.25,7351832.255971804,621060.65625,5451784.15625
56,243,2020-01-08,34264538.6765213,2648312.375,31169273.80194092,2351403.375,8052535.724721804,698763.59375,5698479.34375
57,243,2020-01-09,36505220.1765213,2237483.5,33245239.30194092,2073078.0,8453238.224721804,399904.75,4710466.25
58,243,2020-01-10,39082003.1765213,2573564.0,35665652.30194092,2417568.5,9164584.224721804,710939.75,5702072.25
59,243,2020-01-11,41554339.1765213,2468634.0,38015101.30194092,2345984.0,9855603.224721804,689883.75,5504501.75
60,243,2020-01-12,43960914.1765213,2403177.0,40335606.30194092,2317146.0,10419482.224721804,563055.75,5283378.75
61,243,2021-01-01,46392882.1765213,2428939.0,42659131.30194092,2320613.0,11028610.474721804,608303.25,5357855.25
62,243,2021-01-02,48660948.1765213,2264800.0,44816381.30194092,2154121.0,11700590.474721804,671151.75,5090072.75
63,243,2021-01-03,50598383.9265213,1933927.75,46669140.05194092,1849388.75,12271893.365346804,570247.390625,4353563.890625
64,246,2019-01-07,1236174.1046714785,2472006.517021179,362775.155602932,725349.0688962936,1569470.635421753,3137614.4273376465,6334970.013255119
65,246,2019-01-08,3958762.6847219463,2960014.7988004684,1209654.454621315,921160.080268383,4846227.383270264,3537553.6228485107,7418728.501917362
66,246,2019-01-09,6169223.355362892,2207918.920640945,1939448.9733700752,728750.9093737602,7765705.030227661,2915803.896957397,5852473.726972102
67,246,2019-01-10,7953590.286236763,1781865.4308738708,2719590.255215168,779215.7505950928,10359731.12171936,2590316.466491699,5151397.647960663
68,246,2019-01-11,9231925.411236765,1276504.0,3565368.942715168,844527.5,12670294.87171936,2307295.0,4428326.5
69,246,2019-01-12,10579050.860938072,1345337.1997013092,4461323.98383379,894710.6661186218,15122799.848144531,2449345.476425171,4689393.342245102
70,246,2020-01-01,11908280.548438072,1327449.6875,5367317.04633379,904781.3125,17735472.97314453,2609612.75,4841843.75
71,246,2020-01-02,13183803.547626495,1273397.6241884232,6195356.821853638,826853.7755198479,19937932.558181763,2198808.0850372314,4299059.4847455025
72,246,2020-01-03,14618024.176532743,1432191.0390625,7117877.2759552,921353.42578125,22392096.780838013,2450781.296875,4804325.76171875
73,246,2020-01-04,16195596.508042336,1575384.58150959,7978105.591359138,858911.9404039383,24848759.95475006,2452928.9239120483,4887225.445825577
74,246,2020-01-05,18286465.820542336,2088916.5625,8813485.185109138,834074.8125,27689024.14225006,2836874.625,5759866.0
75,246,2020-01-06,20702608.070542336,2414298.25,9577772.310109138,762931.0,30733973.14225006,3041460.75,6218690.0
76,246,2020-01-07,23508474.383042336,2801728.3125,10372543.013234138,793738.328125,34197102.26725006,3458150.125,7053616.765625
77,246,2020-01-08,26589056.258042336,3076275.9375,11312176.497609138,938129.921875,38049776.14225006,3847257.25,7861663.109375
78,246,2020-01-09,29127789.258042336,2535370.5,12042788.747609138,729730.25,41397696.64225006,3342686.5,6607787.25
79,246,2020-01-10,31362033.257065773,2231146.999023437,12800075.993702888,756257.87109375,44403717.05631256,3001788.4140625,5989193.2841796875
80,246,2020-01-11,33398167.184800148,2033438.59375,13572158.976124763,770956.3525390625,47281733.52506256,2874177.16015625,5678572.1064453125
